,0
0,ambigue
1,Anglosphere
2,anti-suffragism
3,Aperol
4,April Fool’s
5,ar
6,arr
7,assault weapon
8,athleisure
9,Aucklander
10,awedde
11,awe-inspiringly
12,awesomesauce
13,awfulize
14,awfy
15,awfy
16,bidie-in
17,bigsie
18,bok
19,broigus
20,bukateria
21,by-catch
22,cab sav
23,cancel culture
24,chicken finger
25,chicken noodle soup
26,chickie
27,chipmunky
28,chuddies
29,contact tracing
30,contactless
31,coulrophobia
32,Covid-19
33,deepfake
34,de-extinction
35,deleter
36,delicense
37,denialism
38,denialist
39,destigmatizing
40,dof
41,droning
42,e-bike
43,eco-anxiety
44,enoughness
45,Epidemic curve
46,e-waste
47,fantoosh
48,forehead thermometer
49,franger
50,hair doughnut
51,hench
52,hir
53,hygge
54,influencer
55,jerkweed
56,kvell
57,kvetchy
58,LOL
59,macaron
60,MacGyver
61,mama put
62,mentionitis
63,microtarget
64,misgendering
65,next tomorrow
66,oat milk
67,onboarding
68,patient zero
69,pronoid
70,puggle
71,puggle
72,quilling
73,rat tamer
74,report
75,sadfishing
76,sandboxing
77,schnitty
78,Segway
79,self-isolate
80,shero
81,single-use
82,skunked
83,slow-walk
84,social distancing
85,stepmonster
86,tag rugby
87,theonomous
88,thirstry
89,title bar
90,topophilia
91,truthiness
92,UFO
93,unfathom
94,weak sauce
95,WFH
96,WIP
97,zoodle
277,1
278,2
279,3
280,4
281,5
282,6
283,7
284,8
285,9
286,10
287,11
288,12
289,13
290,14
291,15
292,16
293,17
294,18
295,19
296,20
297,21
298,22
299,23
300,24
301,25
302,26
303,27
304,28
305,29
306,30
307,31
308,32
309,33
310,34
311,35
312,36
313,37
314,38
315,39
316,40
317,41
318,42
319,43
320,44
321,45
322,46
323,47
324,48
325,49
326,50
327,51
328,52
329,53
330,54
331,55
332,56
333,57
334,58
335,59
336,60
337,61
338,62
339,63
340,64
341,65
342,66
343,67
344,68
345,69
346,70
347,71
348,72
349,73
350,74
351,75
352,76
353,77
354,78
355,79
356,80
357,81
456, bowdlerize 
457, esoteric 
458, lugubrious 
459, gauche 
460, extrinsic 
461, prurient 
462, protean 
463, tautology 
464, deciduous 
465, pragmatic 
466, diminutive 
467, moiety 
468, recapitulate 
469, unctuous 
470, remunerative 
471, pithy 
472, fiduciary 
473, circumlocution 
474, fractious 
475, fatuous 
476, gerrymander 
477, paradigm 
478, euphony 
479, onus 
480, docket 
481, chicanery 
482, acumen 
483, expurgate 
484, pecuniary 
485, abrogate 
486, jejune 
487, auspicious 
488, abstemious 
489, churlish 
490, quotidian 
491, abjure 
492, jibe 
493, loquacious 
494, timorous 
495, supercilious 
496, insipid 
497, diffident 
498, sycophantic 
499, aberrant 
500, meretricious 
501, ingratiating 
502, pasquinade 
503, parsimony 
504, cabal 
505, sobriquet 
506, amenable 
507, austere 
508, stochastic 
509, rarefied 
510, hirsute 
511, bibulous 
512, fulsome 
513, insouciant 
514, osculate 
515, reify 
516, cetacean 
517, susurration 
518, insouciant 
519, recreant 
520, importunate 
521, empyrean 
522, teleological 
523, supernumerary 
524, idempotent 
525, limn 
526, flagitious 
527, limpid 
528, orison 
529, magnate 
530, eleemosynary 
531, macerate 
532, coruscate 
533, detente 
534, contretemps 
535, scion 
536, potentate
537,new
538,one
539,years
540,need
541,right
542,more
543,out
544,media
545,down
546,its
547,way
548,year
549,makes
550,time
551,life
552,good
553,photos
554,heart
555,made
556,make
557,look
558,best
559,little
560,want
561,dog
562,watch
563,here
564,social
565,really
566,facebook
567,now
568,see
569,found
570,world
571,ways
572,think
573,being
574,old
575,never
576,video
577,baby
578,man
579,girl
580,reasons
581,boy
582,love
583,people
584,know
585,better
586,seen
587,thing
588,something
589,happened
